APP ID,additional_information minus PII,edited version,making.ends.meet,employment,looking for work,illness.or.disability,stigma,homeless,county_name,
287699,"I just finished a masters degree program for counseling at the end of april, and I am in-between jobs. I took a position with a counseling agency (non-profit), but I do not have an income yet. I am working on scheduling clients and will be paid based on a sliding scale. I am going on 2 weeks of no income and I am really worried. I worked my entire life, and have never been on assistance programs and I know this would be a temporary thing, but I need help especially as a single mom. I know I would need to submit paychecks when I recieve one, but right now I am bringing in $0. They say the first few months are rough.","I just finished a masters degree program for counseling and I am in-between jobs. I took a position with a counseling agency (non-profit), but I do not have an income yet. I am working on scheduling clients and will be paid based on a sliding scale. I am going on two weeks of no income and I am really worried. I worked my entire life, and have never been on assistance programs and I know this would be a temporary thing, but I need help especially as a single mom. I know I would need to submit paychecks when I recieve one, but right now I am bringing in $0. They say the first few months are rough.",1,1,,NA,2,NA,Placer,
396029,"I am currently struggling with keeping my job, car and home. Financially not making it. My landlord is about to begin eviction proceedings on me as my rent has been late every month. I struggle at this time to get food in my home for my family and feed my kids before I feed myself. Because of this I ended up in the hospital sick with dehydration, malnourishment, and a virus. I did have cal fresh in the past, but it stopped due, to my getting a job and told I made to much. However I have others who make more that have it, so I figured I would try again.",Financially not making it. My landlord is about to begin eviction proceedings on me as my rent has been late every month. I struggle to get enough food for my home. I feed my kids before I feed myself. I recently ended up in the hospital from dehydration and malnourishment.,1,1,,NA,,NA,Sacramento,
405673,"I am in East Bay doing a ""year of service"" for Habitat for Humanity and Americorps. I will be building multi-family homes and tiny homes for lower-income families and the homeless. Because this is a service position I will only be provided with a very small living stipend (~$900 a month). I am a recent college graduate who just finished paying off their student loans and because of that, I don't have much money saved.","I am doing a ""year of service"" for Habitat for Humanity and Americorps. I will be building multi-family homes and tiny homes for lower-income families and the homeless. Because this is a service position I will only be provided with a very small living stipend (~$900 a month). I am a recent college graduate who just finished paying off their student loans and because of that, I don't have much money saved.",2,1,,NA,,NA,Alameda,
411333,"We dont pay rent, family member owns the home we live in, we take care of the upkeep on the home, and replace what needs replacing on the home. 
 
  
 
  My husband is a carpenter and his job is not steady, so last month was a good month he grossed about $3.000.00, but not every month is not like that, our bills are so behind. The fires really did us in, husband was out of work for over 30 days.
 
  
 
  
 
  
 
  My oldest son has been diagnosed with autisim, and has some heart problems. My boys are growing and eating us out of everything.","My husband is a carpenter and his job is not steady. Last month was a good month and he grossed about $3.000.00, but not every month is not like that. Our bills are so behind. The fires really did us in - my husband was out of work for over 30 days. My oldest son has been diagnosed with autisim, and has some heart problems. My boys are growing and feeding them has taken a huge toll on our finances. ",1,1,,NA,,NA,Sonoma,
420545,"I prefer to interview over the phone, but I can also come in if need be. I am currently in difficult financial bind- never been in a postion such as now, until today. Even help for 1 month would help my son and I immensely. My son's father is making the court ordered payments, and i just started working my regular, consistent hours at the school. I was off during the summer and working our summer daycare for just about 3 hours a day except field trip days (1-2 times per week). I barely got by. I am almost embarrassed to be here, but hey, it happens, and I know I am not alone. First and foremost, my son needs to know that food will always be available. Thank you for your time. NAME","I am currently in difficult financial bind- never been in a postion such as now. Even help for one month would help my son and I immensely. I just started working my regular, consistent hours at the school. I was off during the summer and working our summer daycare for just about 3 hours a day except field trip days (1-2 times per week). I barely got by. I am almost embarrassed to be here, but hey, it happens, and I know I am not alone. First and foremost, my son needs to know that food will always be available. ",1,1,,NA,1,NA,Orange,
320838,"A rental lease is in my name, but I do not pay my rent. I've been in the same place for four years, you probably have one of my leases on file. My parents assist with the rent, but I get no help for living expenses. Until four weeks ago I had been working as an ambulance EMT, but I was recently laid off. They call it a termination to avoid paying unemployment benefits, but our entire Sacramento division was ""fired"" which consists of about six medics that were good at their jobs. We all got taken advantage of. I just need a little help while I look for another EMT job. I was on CalFresh about a year ago while I was a UC Davis student and now I need temporary help again. Medics are severly underpaid and the private EMS can be a tough business, we are disposable unfortunately. Thank you for your time and assistance.","Until four weeks ago I had been working as an ambulance EMT, but I was laid off. They call it a termination to avoid paying unemployment benefits, but our entire division was ""fired"" which consists of about six medics who were good at their jobs. We all got taken advantage of. I just need a little help while I look for another EMT job. I was on CalFresh about a year ago while I was a UC Davis student and now I need temporary help again. Medics are severely underpaid and the private EMS can be a tough business. We are are treated as disposable, unfortunately. ",NA,1,,NA,,NA,Yolo,
363488,"i used to average 30-35hrs a week making 70hr payperiods (each 2 weeks ) and for a while i didnt need foodstamps, but the last two months its been slowly shorting hours.. july 23th gross 274.63 for 21.97hrs and used up all my 24hrs of vacation of 300$ to gross 574.63, if that helps. - just need it for 6 months or less while we are in the slow period untill it picks back up thank you. -- problem is providing work stubs, all is digital and paperless, ive printed thigns out from my bank and sent them to you before (and for medical, which i need to reapply to. thanks) just worried about the next few months","I used to average 30-35 hrs a week, but the last two months it's been fewer hours... last paycheck I grossed $275 for 22 hrs. I just need help for 6 months or less while we are in the slow period until work picks back up. Just worried about the coming months. ",NA,1,,NA,,NA,Orange,
378237,"I was working full time at a large hotel in Monterey. I had good pay, but was offered a job at a local business for higher pay and Monday-Friday (since hotels are open 24/7 a M-F schedule seemed like a luxury). The hiring job asked me to put in my 2 weeks notice for my past job. I submitted my two weeks on 7/6 stating my last day would be on 7/20. I was already training my new job working two places at once during this time. On 7/22 the prospective job called me and said the position wouldn't work out since they didn't have it in the budget. Leaving me completely unemployed. I've been applying for jobs, its very unfortunate situation since my partner cannot afford to support us on his $400/per 2 week pay checks and rent. I am currently making $0. Please any help is needed right now.","I was working full time at a large hotel in Monterey. I had good pay, but was offered a job at a local business for higher pay and Monday-Friday (since hotels are open 24/7 a M-F schedule seemed like a luxury). The hiring job asked me to put in my two weeks notice for my past job. I was already training for my new job when they called me and said the position wouldn't work out since they didn't have it in the budget. Now I'm unemployed and applying for jobs. My partner cannot afford to support us on his $400/per 2 week pay checks. ",1,2,,NA,,NA,Monterey,
393495,"I will be 65 next year on 1/27/54. I am unemployed, just filed for unemployment which EDD approved and am currently searching for work as I have a mortgage and bills to pay. I shared what I have in savings which is my life savings and all I have for retirement. I am drawing on this money to pay for my mortgage, health insurance, car insurance and living expenses while I am out of work. The EDD monthly payment is to be about $380 and I have not yet received payment. The last day I worked was 7/24/18 which is when I was terminated. I do not qualify for social security until I turn 66 in 2020. Jobs I am interviewing for are offering as low as $13.00 per hour. I have, therefore reluctantly applied for this food aid program due to the high cost of living in California. Please realize the amount of money I have in savings is all I have managed to save for when I am no longer able to work. My 19 year old son is in college full time and works part time to pay for his car, insurance and miscellaneous bills. He is not home much and does not contribute any money toward my household as he makes minimum wage which goes toward his miscellaneous needs. He takes his meals out and at work where he works as a cullinary aid in the kitchen of a retirement/Alzheimer's facility.","I will be 65 next year. I am unemployed, just filed for unemployment which EDD approved and am currently searching for work as I have a mortgage and bills to pay. I am drawing on my retirement savings to pay for my mortgage, health insurance, car insurance and living expenses while I am out of work. The EDD monthly payment is to be about $380 and I have not yet received payment. I do not qualify for social security until I turn 66 in 2020. Jobs I am interviewing for are offering as low as $13.00 per hour. I have, therefore, reluctantly applied for this food aid program due to the high cost of living in California. ",1,2,,NA,1,NA,Ventura,
399617,"I lost my job, the restaurant where I worked for the last 13 years was sold, my second job is only 1 hour 15 minutes every day serving lunch at Fullerton School District and we dont get paid during the summer break, my husband's second job is very variable sometimes he can work 1 or two days a week but sometimes he does not work at all for a month. In May we had to move because the owner of the condo where we were renting, had to sell it and now our monthly rent increased $700 more than the amount we were paying before, since we are a family of 6, we had to rent a three bedroom apartment, we just found out that the electricity here in fullerton is so much more expensive than Anaheim we are already behind on payments with edison for $380!! ( we already arranged payments) Our 7 year old kid used to attend after school program wich was free but now in our new place we have to pay $75 registration and 
 
  
 
  $295 a month and for our kindergardener was just impossible to enroll her, $50 registration and $395 a month! Also for our youngest boy now is not possible to keep him attending his private preeschool he used to go, we can not afford it. We request some help to no matter gow keep our kids healthy with activities and we are enrolled at the YMCA fullerton paying $52 a month. From my husband's main job, the medical, vision, and dental insurance are paid for 5 of us and after deductions its very little left from his check. Not to mention all other expenses such as gasoline, food, clothes, etc..... 
 
  
 
  My mom live with us, she has medical insurance from the county. We would really appreciate it your help. Thank you so much.","I lost my job, the restaurant where I worked for the last 13 years was sold. My second job is only 1 hour 15 minutes every day serving lunch at a school district and we dont get paid during the summer break, my husband's second job is very variable sometimes he can work one or two days a week but sometimes he does not work at all for a month. In May we had to move because the owner of the condo where we were renting had to sell it. Our monthly rent increased by $700. We just found out that the electricity here in Fullerton is so much more expensive than Anaheim and we are already behind on payments with Edison for $390!! Our 7 year old kid used to attend after school program which was free, but in our new place we have to pay $70 registration and $305 a month; our kindergardener's new program was $55 registration and $385 a month! We can't afford our youngest boy's preschool anymore. After deducting the medical, vision, and dental insurance for the 5 of us and taxes, there's very little left my husband's paycheck. Not to mention all other expenses such as gasoline, food, clothes, etc...",2,1,,NA,,NA,Orange,
