CPM child poverty rate margin of error (% pt),CPM child poverty rate - no star,CPM poverty rate margin of error (% pt),CPM poverty rate,"CPM poverty threshold, renting family of 4",( ),CPM child poverty rate,Geometry,Increase in poverty without CalFresh (% pt),Increase in poverty without CalFresh (margin of error (% pt)),Increase in poverty without CalWORKs (% pt),Increase in poverty without CalWORKs (margin of error (% pt)),Increase in poverty without federal EITC (% pt),Increase in poverty without federal EITC (margin of error (% pt)),Increase in poverty without safety net (% pt),Increase in poverty without safety net (margin of error (% pt)),Official poverty rate margin of error (% pt),Official poverty rate,Total sampled children,Countyfips,County,Poverty bracket,Poverty bracket - #
4.8,10.60%,2.1,11.80%,"$27,439 ",,10.6%*,POLYGON,1.2,0.8,0.4,0.5,0.9,0.6,5.2,1.8,2,9.40%,1014,6017,El Dorado,< 16.0%,1
2.6,10.70%,1.6,12.90%,"$30,857 ",,10.60%,POLYGON,0.9,0.6,0.2,0.2,1.2,0.7,3.1,1,1.3,8.30%,2451,6061,Placer,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6003,Alpine,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6005,Amador,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6009,Calaveras,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6027,Inyo,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6043,Mariposa,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6051,Mono,< 16.0%,1
5.4,13.20%,2.3,13.40%,"$26,620 ",,13.1%*,POLYGON,2.4,1.2,0.9,0.8,1.6,1,7.4,2.3,2.6,12.10%,930,6109,Tuolumne,< 16.0%,1
2.2,16.90%,1.1,14.80%,"$32,564 ",,16.80%,POLYGON,1.4,0.5,0.6,0.3,1.4,0.5,4.9,0.8,0.9,10.10%,6750,6013,Contra Costa,< 16.0%,1
4.7,14.00%,2.5,15.50%,"$24,731 ",,13.9%*,MULTIPOLYGON,3.3,1.5,1.1,0.9,1.9,1.1,12.9,2.8,2.6,17.10%,1026,6015,Del Norte,< 16.0%,1
4.7,14.00%,2.5,15.50%,"$24,731 ",,13.9%*,POLYGON,3.3,1.5,1.1,0.9,1.9,1.1,12.9,2.8,2.6,17.10%,1026,6035,Lassen,< 16.0%,1
4.7,14.00%,2.5,15.50%,"$24,731 ",,13.9%*,POLYGON,3.3,1.5,1.1,0.9,1.9,1.1,12.9,2.8,2.6,17.10%,1026,6049,Modoc,< 16.0%,1
4.7,14.00%,2.5,15.50%,"$24,731 ",,13.9%*,POLYGON,3.3,1.5,1.1,0.9,1.9,1.1,12.9,2.8,2.6,17.10%,1026,6063,Plumas,< 16.0%,1
4.7,14.00%,2.5,15.50%,"$24,731 ",,13.9%*,POLYGON,3.3,1.5,1.1,0.9,1.9,1.1,12.9,2.8,2.6,17.10%,1026,6093,Siskiyou,< 16.0%,1
3.8,17.30%,2.1,15.60%,"$30,002 ",,17.30%,POLYGON,1.7,0.7,0.7,0.4,2.2,0.9,6.6,1.2,1.5,11.80%,2594,6095,Solano,< 16.0%,1
2.7,16.00%,1.9,15.70%,"$26,350 ",,15.90%,POLYGON,3.1,1,1.6,0.8,2.5,0.8,12,1.8,1.6,16.50%,3553,6099,Stanislaus,< 16.0%,1
2.2,16.40%,1.4,15.80%,"$27,010 ",,16.30%,POLYGON,3,0.7,1.9,0.7,2.3,0.7,12.5,1.4,1.5,17.10%,5068,6077,San Joaquin,< 16.0%,1
1.7,17.10%,1,16.00%,"$36,452 ",,17.00%,POLYGON,0.8,0.2,0.2,0.1,0.8,0.3,3.4,0.5,0.7,9.10%,12600,6085,Santa Clara,16.0 - 17.0%,2
